id,geom,amenities_500,leisure_500
6700860,"40.67885,-74.00027",24,6
6701706,"40.74573,-73.92261",24,16
6702693,"40.73692,-73.99219",110,4
6703091,"40.72132,-73.98263",90,13
6703106,"40.71056,-73.94906",49,7
6704000,"40.75929,-73.9173",48,4
6705158,"40.80144,-73.95193",22,6
6705558,"40.71506,-73.96182",98,11
6705604,"40.87225,-73.88748",1,4
6705606,"40.7262,-73.8672",10,2
6706074,"40.78112,-73.91079",4,3
6706494,"40.70264,-73.91702",59,3
6706703,"40.77583,-73.9131",31,2
6709867,"40.68881,-73.97391",43,6
6711306,"40.66866,-73.98214",57,2
6712530,"40.82608,-73.9525",21,6
6712618,"40.74147,-73.91997",30,8
6713005,"40.767,-73.95456",54,4
6713521,"40.68447,-73.9543",18,2
6713742,"40.75549,-73.97149",111,8
6713821,"40.67547,-73.95711",35,3
6713911,"40.76217,-73.96622",80,4
6716066,"40.80748,-73.94922",42,6
6716154,"40.76685,-73.95265",41,8
6716160,"40.6669,-73.97827",24,1
6716199,"40.76561,-73.92056",84,3
6716444,"40.72879,-73.98575",167,9
6716695,"40.70873,-73.95219",30,14
6717053,"40.74024,-73.83105",1,2
6717309,"40.77878,-73.94491",50,5
6717544,"40.61625,-73.9916",12,0
6717607,"40.69093,-73.91291",16,3
6718257,"40.66079,-73.9342",2,2
6718383,"40.66058,-73.93383",2,1
6719207,"40.66037,-73.93316",2,1
6722799,"40.74558,-74.00325",77,7
6723207,"40.638,-73.96742",18,0
6725463,"40.74786,-73.97277",90,13
6726337,"40.88238,-73.90689",7,5
6726361,"40.68354,-73.92612",11,7
6726702,"40.6637,-73.94644",2,1
6728550,"40.68972,-73.95629",19,6
6729568,"40.68701,-73.99054",74,4
6729589,"40.68542,-73.98916",61,4
6730056,"40.74688,-74.00145",72,4
6730582,"40.68491,-73.75895",1,2
6731170,"40.80352,-73.95079",37,7
6731373,"40.66913,-73.93199",2,2
6731463,"40.67731,-73.96683",55,5
6731564,"40.76774,-73.92414",41,2
6731830,"40.71444,-73.96024",102,14
6732446,"40.71676,-73.9439",35,5
6733512,"40.68814,-73.93089",6,4
6737048,"40.70737,-73.91439",21,4
6737815,"40.7481,-74.00533",39,6
6738207,"40.71937,-73.99098",202,18
6738524,"40.73401,-73.95471",26,6
6739145,"40.58115,-74.09182",0,1
6741023,"40.71458,-73.96181",99,13
6741094,"40.74798,-73.9814",217,2
6742680,"40.77259,-73.95647",110,0
6743346,"40.70645,-73.9379",20,4
6743935,"40.73742,-74.00171",113,15
6746003,"40.62154,-74.08701",0,3
6747106,"40.81666,-73.96074",12,7
6747193,"40.68649,-73.92783",7,3
6747308,"40.77818,-73.98959",0,7
6747685,"40.7259,-73.9939",153,12
6747958,"40.68662,-73.97602",40,9
6748032,"40.66002,-73.99073",18,3
6748711,"40.71054,-73.95669",64,22
6748933,"40.74121,-74.00122",114,9
6748952,"40.70799,-73.94888",24,7
6749285,"40.67837,-73.95517",29,2
6749837,"40.6345,-73.97271",7,2
6750178,"40.68491,-73.94919",13,5
6750443,"40.71154,-73.96424",58,17
6751450,"40.74642,-73.98516",209,5
30235118,"40.68176,-73.91435",7,8
30235273,"40.68197,-73.91235",6,7
30235341,"40.6818,-73.9139",5,6
30235404,"40.68105,-73.91256",4,6
30235482,"40.68052,-73.91216",5,6
30235527,"40.68249,-73.91276",6,7
30236202,"40.69347,-73.92448",7,4
30243242,"40.6932,-73.94897",8,7
30244166,"40.75248,-73.97017",97,14
30246118,"40.66166,-73.94084",1,1
30246323,"40.75844,-73.98965",250,6
30246807,"40.66225,-73.94126",1,1
30246815,"40.67728,-73.94536",16,4
30247044,"40.7247,-73.95378",48,8
30247556,"40.70115,-73.91106",69,3
30247719,"40.66199,-73.94135",1,1
30248002,"40.66191,-73.94137",1,1
30248715,"40.76732,-73.95179",35,7
30249168,"40.77642,-73.97987",48,10
30249944,"40.70897,-73.92198",18,2
30250766,"40.61438,-74.0664",1,2
30251543,"40.78139,-73.94678",75,7
30251760,"40.82582,-73.94276",17,10
30252034,"40.76127,-73.95034",2,9
30252158,"40.64249,-73.97559",14,2
30252251,"40.69051,-73.98398",45,5
30252654,"40.72097,-73.99274",222,13
30253236,"40.84378,-73.84469",2,5
30253910,"40.71146,-73.95632",66,22
30254229,"40.67339,-73.91415",2,7
